abc,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,filter_level,lang,timestamp_ms,retweeted_status,extended_entities,possibly_sensitive,display_text_range,quoted_status_id,quoted_status_id_str,quoted_status,quoted_status_permalink,extended_tweet
False,2020-08-25 14:45:03,1298134272289566727,1298134272289566720,"수위 높은 변녀 변남 들이랑 놀 사람
https://t.co/l97fCuHot6 

#일탈 #걸레 #노예 #야노 #야사 #섹트","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,,,,,,"{'id': 1293766822584410112, 'id_str': '1293766822584410112', 'name': '하율', 'screen_name': '6o3G2vioz7JlHs5', 'location': None, 'url': None, 'description': '남녀 수위없이 단톡방에서 사진공유하고 놀사람~\nhttps://open.kakao.com/o/sbIgt9rc 링크로 ^_^', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 11, 'friends_count': 10, 'listed_count': 0, 'favourites_count': 0, 'statuses_count': 1, 'created_at': 'Thu Aug 13 04:30:32 +0000 2020', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1293766928549330944/Fn3sx-1b_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1293766928549330944/Fn3sx-1b_normal.jpg', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,0,0,0,0,"{'hashtags': [{'text': '일탈', 'indices': [47, 50]}, {'text': '걸레', 'indices': [51, 54]}, {'text': '노예', 'indices': [55, 58]}, {'text': '야노', 'indices': [59, 62]}, {'text': '야사', 'indices': [63, 66]}, {'text': '섹트', 'indices': [67, 70]}], 'urls': [{'url': 'https://t.co/l97fCuHot6', 'expanded_url': 'https://open.kakao.com/o/sbIgt9rc', 'display_url': 'open.kakao.com/o/sbIgt9rc', 'indices': [21, 44]}], 'user_mentions': [], 'symbols': []}",False,False,low,ko,2020-08-25 05:45:03.339,,,0.0,,,,,,
False,2020-08-25 14:47:05,1298134785051639808,1298134785051639808,"RT @rascalracoon7: ♥ 야동 (8.21 / 3부) 샘플영상 ♥

""오빠 쌀거같아요?""
""아직 멀었는데?ㅎㅎ""
쌀때까지 섹스하는 영상.

+ 풀영상보는법은 메인트윗 확인.
&lt;리트윗안하면 차단&gt;

+ 조건만남 (디엠 x 라인으로).
&lt;라인…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,,,,,,"{'id': 926999788414910464, 'id_str': '926999788414910464', 'name': 'Maps', 'screen_name': 'Maps95289688', 'location': None, 'url': None, 'description': None, 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 34, 'friends_count': 2452, 'listed_count': 0, 'favourites_count': 217, 'statuses_count': 2781, 'created_at': 'Sun Nov 05 02:29:07 +0000 2017', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profile_image_url_https': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,0,0,0,0,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'rascalracoon7', 'name': '은빈 (본계정 / 오프녀 초대남 초대녀 갱뱅 대전조건 서울조건 쉬메일 트랜스젠더)', 'id': 1282796167214989313, 'id_str': '1282796167214989313', 'indices': [3, 17]}], 'symbols': []}",False,False,low,ko,2020-08-25 05:47:05.591,"{'created_at': 'Mon Aug 24 12:07:42 +0000 2020', 'id': 1297868180338089988, 'id_str': '1297868180338089988', 'text': '♥ 야동 (8.21 / 3부) 샘플영상 ♥\n\n""오빠 쌀거같아요?""\n""아직 멀었는데?ㅎㅎ""\n쌀때까지 섹스하는 영상.\n\n+ 풀영상보는법은 메인트윗 확인.\n&lt;리트윗안하면 차단&gt;\n\n+ 조건만남 (디엠 x 라인으로)… https://t.co/5PVAKXiKsA', 'display_text_range': [0, 140], 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'truncated': True, 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 1282796167214989313, 'id_str': '1282796167214989313', 'name': '은빈 (본계정 / 오프녀 초대남 초대녀 갱뱅 대전조건 서울조건 쉬메일 트랜스젠더)', 'screen_name': 'rascalracoon7', 'location': '대한민국 대전', 'url': None, 'description': '* 풀영상 보는법은 메인트윗 읽어주세요.                                          * 만남문의) 라인 : sexybin3\n #오프녀 #일탈녀 #조건만남 #대전조건만남 #서울조건만남 #트랜스젠더 #쉬메일 #쉬멜 #갱뱅', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 679, 'friends_count': 1, 'listed_count': 1, 'favourites_count': 0, 'statuses_count': 33, 'created_at': 'Mon Jul 13 21:57:17 +0000 2020', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1288665623174602752/bRMY0V6b_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1288665623174602752/bRMY0V6b_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1282796167214989313/1596076837', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'extended_tweet': {'full_text': '♥ 야동 (8.21 / 3부) 샘플영상 ♥\n\n""오빠 쌀거같아요?""\n""아직 멀었는데?ㅎㅎ""\n쌀때까지 섹스하는 영상.\n\n+ 풀영상보는법은 메인트윗 확인.\n&lt;리트윗안하면 차단&gt;\n\n+ 조건만남 (디엠 x 라인으로).\n&lt;라인 : sexybin3&gt;\n\n#오프 #일탈 #섹트 #초대남 #초대녀 #대전조건 #서울조건 #창원조건 #대구조건 #변녀 https://t.co/eQLetojhHV', 'display_text_range': [0, 195], 'entities': {'hashtags': [{'text': '오프', 'indices': [146, 149]}, {'text': '일탈', 'indices': [150, 153]}, {'text': '섹트', 'indices': [154, 157]}, {'text': '초대남', 'indices': [158, 162]}, {'text': '초대녀', 'indices': [163, 167]}, {'text': '대전조건', 'indices': [168, 173]}, {'text': '서울조건', 'indices': [174, 179]}, {'text': '창원조건', 'indices': [180, 185]}, {'text': '대구조건', 'indices': [186, 191]}, {'text': '변녀', 'indices': [192, 195]}], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1297868101355069445, 'id_str': '1297868101355069445', 'indices': [196, 219], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1297868101355069445/pu/img/S_pZ2K3LllLiVqto.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1297868101355069445/pu/img/S_pZ2K3LllLiVqto.jpg', 'url': 'https://t.co/eQLetojhHV', 'display_url': 'pic.twitter.com/eQLetojhHV', 'expanded_url': 'https://twitter.com/rascalracoon7/status/1297868180338089988/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 31231, 'variants': [{'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1297868101355069445/pu/vid/480x270/lOKyfUfWkyQgDntJ.mp4?tag=10'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1297868101355069445/pu/vid/640x360/4QufHuNjNLK_22qy.mp4?tag=10'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1297868101355069445/pu/vid/1280x720/Mh7YP92dngqdK9OS.mp4?tag=10'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1297868101355069445/pu/pl/Ce_JWSOSkRplblbG.m3u8?tag=10'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1297868101355069445, 'id_str': '1297868101355069445', 'indices': [196, 219], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1297868101355069445/pu/img/S_pZ2K3LllLiVqto.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1297868101355069445/pu/img/S_pZ2K3LllLiVqto.jpg', 'url': 'https://t.co/eQLetojhHV', 'display_url': 'pic.twitter.com/eQLetojhHV', 'expanded_url': 'https://twitter.com/rascalracoon7/status/1297868180338089988/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 31231, 'variants': [{'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1297868101355069445/pu/vid/480x270/lOKyfUfWkyQgDntJ.mp4?tag=10'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1297868101355069445/pu/vid/640x360/4QufHuNjNLK_22qy.mp4?tag=10'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1297868101355069445/pu/vid/1280x720/Mh7YP92dngqdK9OS.mp4?tag=10'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1297868101355069445/pu/pl/Ce_JWSOSkRplblbG.m3u8?tag=10'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}}]}}, 'quote_count': 0, 'reply_count': 2, 'retweet_count': 86, 'favorite_count': 28, 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/5PVAKXiKsA', 'expanded_url': 'https://twitter.com/i/web/status/1297868180338089988', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [123, 146]}], 'user_mentions': [], 'symbols': []}, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'filter_level': 'low', 'lang': 'ko'}",,,,,,,,
False,2020-08-25 14:47:07,1298134794644025349,1298134794644025344,"1. 자영😍

2.영통🥰

3.노예❣️

4.조건🤗

❤️문의는 라인  mingzz29👈
❤️간쟁이 절대 사절😂

#자영 #애액 #자위영상 #영상 #팬티 #변녀 #노예 #스캇 #서울 #조건 #00년 #01년… https://t.co/gJzMygSaXd","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",True,,,,,,"{'id': 1290308420571078656, 'id_str': '1290308420571078656', 'name': '이다연', 'screen_name': 'u2BjPgiFMxoyAMJ', 'location': None, 'url': None, 'description': '문의는 라인 주세요😍😍', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 49, 'friends_count': 0, 'listed_count': 0, 'favourites_count': 0, 'statuses_count': 1, 'created_at': 'Mon Aug 03 15:28:02 +0000 2020', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': '', 'profile_background_image_url_https': '', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1291662513629564929/yDRqqakE_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1291662513629564929/yDRqqakE_normal.jpg', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,0,0,0,0,"{'hashtags': [{'text': '자영', 'indices': [64, 67]}, {'text': '애액', 'indices': [68, 71]}, {'text': '자위영상', 'indices': [72, 77]}, {'text': '영상', 'indices': [78, 81]}, {'text': '팬티', 'indices': [82, 85]}, {'text': '변녀', 'indices': [86, 89]}, {'text': '노예', 'indices': [90, 93]}, {'text': '스캇', 'indices': [94, 97]}, {'text': '서울', 'indices': [98, 101]}, {'text': '조건', 'indices': [102, 105]}, {'text': '00년', 'indices': [106, 110]}, {'text': '01년', 'indices': [111, 115]}], 'urls': [{'url': 'https://t.co/gJzMygSaXd', 'expanded_url': 'https://twitter.com/i/web/status/1298134794644025349', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,low,ko,2020-08-25 05:47:07.878,,,,,,,,,"{'full_text': '1. 자영😍\n\n2.영통🥰\n\n3.노예❣️\n\n4.조건🤗\n\n❤️문의는 라인  mingzz29👈\n❤️간쟁이 절대 사절😂\n\n#자영 #애액 #자위영상 #영상 #팬티 #변녀 #노예 #스캇 #서울 #조건 #00년 #01년 #암캐 #섹트 #직찍 #영통\n\n 자영15개 2만 30개 3만 영통3 노예5입니당😍', 'display_text_range': [0, 161], 'entities': {'hashtags': [{'text': '자영', 'indices': [64, 67]}, {'text': '애액', 'indices': [68, 71]}, {'text': '자위영상', 'indices': [72, 77]}, {'text': '영상', 'indices': [78, 81]}, {'text': '팬티', 'indices': [82, 85]}, {'text': '변녀', 'indices': [86, 89]}, {'text': '노예', 'indices': [90, 93]}, {'text': '스캇', 'indices': [94, 97]}, {'text': '서울', 'indices': [98, 101]}, {'text': '조건', 'indices': [102, 105]}, {'text': '00년', 'indices': [106, 110]}, {'text': '01년', 'indices': [111, 115]}, {'text': '암캐', 'indices': [116, 119]}, {'text': '섹트', 'indices': [120, 123]}, {'text': '직찍', 'indices': [124, 127]}, {'text': '영통', 'indices': [128, 131]}], 'urls': [], 'user_mentions': [], 'symbols': []}}"
False,2020-08-25 14:47:08,1298134798855094278,1298134798855094272,"뀨우
#섹트 #BBW #뚱녀 #비떱 #변녀 https://t.co/XXYDFdbCRk","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,"{'id': 1250304854850846720, 'id_str': '1250304854850846720', 'name': '𝖗𝖔𝖘𝖊Ⅶ', 'screen_name': 'bin_0629', 'location': '공삼일', 'url': 'http://asked.kr/bin_0629', 'description': '0ⁿ년생 라디 383629yu      \n •오프 안한다냥  •미자다냥  •존나 예민함 •입 존나 험함 •프본 씨바라 •뭐 설레고 싶음 오던가////', 'translator_type': 'none', 'protected': False, 'verified': False, 'followers_count': 948, 'friends_count': 16, 'listed_count': 1, 'favourites_count': 673, 'statuses_count': 265, 'created_at': 'Wed Apr 15 06:08:08 +0000 2020', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1297553872727105537/UczQTquX_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1297553872727105537/UczQTquX_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1250304854850846720/1597929884', 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,0,0,0,0,"{'hashtags': [{'text': '섹트', 'indices': [3, 6]}, {'text': 'BBW', 'indices': [7, 11]}, {'text': '뚱녀', 'indices': [12, 15]}, {'text': '비떱', 'indices': [16, 19]}, {'text': '변녀', 'indices': [20, 23]}], 'urls': [], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1298134761798418432, 'id_str': '1298134761798418432', 'indices': [24, 47], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1298134761798418432/pu/img/BVeAOG2Rgk40RunW.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1298134761798418432/pu/img/BVeAOG2Rgk40RunW.jpg', 'url': 'https://t.co/XXYDFdbCRk', 'display_url': 'pic.twitter.com/XXYDFdbCRk', 'expanded_url': 'https://twitter.com/bin_0629/status/1298134798855094278/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 720, 'resize': 'fit'}, 'large': {'w': 960, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}}}]}",False,False,low,ko,2020-08-25 05:47:08.882,,"{'media': [{'id': 1298134761798418432, 'id_str': '1298134761798418432', 'indices': [24, 47], 'additional_media_info': {'monetizable': False}, 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1298134761798418432/pu/img/BVeAOG2Rgk40RunW.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1298134761798418432/pu/img/BVeAOG2Rgk40RunW.jpg', 'url': 'https://t.co/XXYDFdbCRk', 'display_url': 'pic.twitter.com/XXYDFdbCRk', 'expanded_url': 'https://twitter.com/bin_0629/status/1298134798855094278/video/1', 'type': 'video', 'video_info': {'aspect_ratio': [4, 3], 'duration_millis': 12232, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1298134761798418432/pu/pl/bTRZ33EZCtupVpIo.m3u8?tag=10'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1298134761798418432/pu/vid/480x360/feA3AHBYN1c6BDo9.mp4?tag=10'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1298134761798418432/pu/vid/960x720/vrvvolL-VUQJLnfy.mp4?tag=10'}, {'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1298134761798418432/pu/vid/360x270/bR6TSYIawgKXsp3j.mp4?tag=10'}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 720, 'resize': 'fit'}, 'large': {'w': 960, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}}}]}",1.0,"[0, 23]",,,,,
